netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,
W58,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE6<9>,CFG_BBMUXE6<7>,CFG_BBMUXE6<6>,CFG_BBMUXE6<3>,CFG_BBMUXE6<1>,CFG_SEAMMUX<113>,CFG_SEAMMUX<112>,CFG_SEAMMUX<111>,CFG_SEAMMUX<110>,CFG_SEAMMUX<109>,CFG_SEAMMUX<108>,
W59,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W60,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE6<4>,CFG_BBMUXE6<8>,CFG_BBMUXE6<5>,CFG_BBMUXE6<2>,CFG_BBMUXE6<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W61,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE7<4>,CFG_BBMUXE7<8>,CFG_BBMUXE7<5>,CFG_BBMUXE7<2>,CFG_BBMUXE7<0>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W62,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W63,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXE7<9>,CFG_BBMUXE7<7>,CFG_BBMUXE7<6>,CFG_BBMUXE7<3>,CFG_BBMUXE7<1>,CFG_SEAMMUX<119>,CFG_SEAMMUX<118>,CFG_SEAMMUX<117>,CFG_SEAMMUX<116>,CFG_SEAMMUX<115>,CFG_SEAMMUX<114>,
W64,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W65,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W66,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W67,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,

